Title,Authors,Date,Pureportal,Pub Link
The Role of Managerial Ownership in Dividend Tunneling: Evidence from China,,8 Jul 2022,,https://pureportal.coventry.ac.uk/en/publications/the-role-of-managerial-ownership-in-dividend-tunneling-evidence-f
Tourism And Exports: The Case of Singapore,"Serenis, D.",18 May 2022,https://pureportal.coventry.ac.uk/en/persons/dimitris-serenis,https://pureportal.coventry.ac.uk/en/publications/tourism-and-exports-the-case-of-singapore
Unveiling the black swan of the finance‐growth Nexus: Assumptions and preliminary evidence of virtuous and unvirtuous cycles,"Lauretta, E.,Santamaria, D.",12 Apr 2022,"https://pureportal.coventry.ac.uk/en/persons/eliana-lauretta,https://pureportal.coventry.ac.uk/en/persons/daniel-santamaria",https://pureportal.coventry.ac.uk/en/publications/unveiling-the-black-swan-of-the-financegrowth-nexus-assumptions-a
Why do Sukuks (Islamic Bonds) need a different pricing model?,"Kabir, S.",Apr 2022,https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir,https://pureportal.coventry.ac.uk/en/publications/why-do-sukuks-islamic-bonds-need-a-different-pricing-model
A global analysis of Private Investments in Public Equity,"Panetsidou, S.",Aug 2021,https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou,https://pureportal.coventry.ac.uk/en/publications/a-global-analysis-of-private-investments-in-public-equity-2
A Historical Institutionalist Perspective on the Persistence of State Controls during Financial Sector Reforms: The Insightful Case of Myanmar,"Win, S.",26 Jan 2021,https://pureportal.coventry.ac.uk/en/persons/sandar-win,https://pureportal.coventry.ac.uk/en/publications/a-historical-institutionalist-perspective-on-the-persistence-of-s
An appraisal of Turkey's voluntary individual pension system from a perspective of pension equality,"Hisarciklilar, M.",Sep 2021,https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar,https://pureportal.coventry.ac.uk/en/publications/an-appraisal-of-turkeys-voluntary-individual-pension-system-from-
A Novel Method for Measuring the Timing Website Reconstructions,"Al Montaser, T.",2021,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser,https://pureportal.coventry.ac.uk/en/publications/a-novel-method-for-measuring-the-timing-website-reconstructions
Are bank risk disclosures informative? Evidence from debt markets,"Owusu, A.",Jan 2021,https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,https://pureportal.coventry.ac.uk/en/publications/are-bank-risk-disclosures-informative-evidence-from-debt-markets
"Audit Committee and Audit Quality: An Empirical Analysis Considering Industry Expertise, Legal Expertise and Gender Diversity","Alhababsah, S.",Mar 2021,https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah,https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-audit-quality-an-empirical-analysis-consideri
"Bank solvency: The role of credit and liquidity risks, regulatory capital and economic stability","Oino, I.",22 Nov 2021,https://pureportal.coventry.ac.uk/en/persons/isaiah-oino,https://pureportal.coventry.ac.uk/en/publications/bank-solvency-the-role-of-credit-and-liquidity-risks-regulatory-c
Can Citizen Science Increase Trust in Research ? A Case Study of Delineating Polish Metropolitan Areas,"Lis, P.",17 May 2021,https://pureportal.coventry.ac.uk/en/persons/piotr-lis,https://pureportal.coventry.ac.uk/en/publications/can-citizen-science-increase-trust-in-research-a-case-study-of-de
Can Databases Facilitate Accountability? The Case of Australian Mercury Accounting via the National Pollutant Inventory,"Ullah, H.",8 Jan 2021,https://pureportal.coventry.ac.uk/en/persons/hafij-ullah,https://pureportal.coventry.ac.uk/en/publications/can-databases-facilitate-accountability-the-case-of-australian-me
Carbon emissions and firm performance: evidence from financial and non-financial firms from selected emerging economies,"Hasan, R.",30 Nov 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/carbon-emissions-and-firm-performance-evidence-from-financial-and
Corporate adoption of SDG reporting in a non-enabling institutional environment : Insights from Libyan oil industries,"Al Montaser, T.",Dec 2021,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser,https://pureportal.coventry.ac.uk/en/publications/corporate-adoption-of-sdg-reporting-in-a-non-enabling-institution
Corporate board for innovative managerial control: implications of corporate governance deviance perspective,"Hasan, R.",8 Jun 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/corporate-board-for-innovative-managerial-control-implications-of
Corporate environmental accountability in Nigeria: An example of regulatory failure and regulatory capture,"Noah, A.",26 Jan 2021,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah,https://pureportal.coventry.ac.uk/en/publications/corporate-environmental-accountability-practices-in-nigeria-an-ex
Corporate Fraud Risk Management: Fraud Risk Management and Modelling ,,Nov 2021,,https://pureportal.coventry.ac.uk/en/publications/corporate-fraud-risk-management-fraud-risk-management-and-modelli
"Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks: Evidence from Malaysia, Thailand, and Singapore","Elmghaamez, I.",18 Sep 2021,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-financial-performance-of-firms-listed-on
Corporate Social Responsibility: How much is enough? A Higher Dimension Perspective of the Relationship between Financial and Social Performance,,Nov 2021,,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-how-much-is-enough-a-higher-dimen
Corruption and bank efficiency: Expanding the ‘sand or grease the wheel hypothesis’ for the Gulf Cooperation Council,"Hasan, R.",10 Aug 2021,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/corruption-and-bank-efficiency-expanding-the-sand-or-grease-the-w
